,musica,titulo,artista,letra
0,"Tá OK de DENNIS, MC Kevin o Chris",TÁ OK (part. MC Kevin O Chris),Dennis DJ,"Tá okay, tu é gostosa, então joga tudão
Vem que vem, outra vez sentar pro chefão
Sua marquinha de biquíni tá a maior pressão
Tava querendo rever esse teu pacotão

Então toma, toma, toma, toma, toma, toma, toma, toma
Toma, toma, toma, toma, toma, toma, toma, toma
Toma, toma, toma, toma, toma, toma, toma, toma (toma, toma)
Toma, toma, toma, toma, toma, toma, toma, toma (toma, toma)
Toma, toma, toma, toma, toma, toma, toma, toma (toma, toma)
Toma, toma, toma, toma, toma, toma, toma (toma, toma)

Bola aê, brisa aê, que hoje a noite é de prazer
Faz o que quiser fazer, pode até subir e descer
No papin, faz assim, vem ni-vem ni-vem ni mim
Que-que hoje eu tô facin, tô fa-tô fa-tô facin

Então toma, toma, toma, toma, toma, toma, toma, toma
Toma, toma, toma, toma, toma, toma, toma, toma
Toma, toma, toma, toma, toma, toma, toma, toma (toma, toma)
Toma, toma, toma, toma, toma, toma, toma, toma (toma, toma)
Toma, toma, toma, toma, toma, toma, toma, toma (toma, toma)
Toma, toma, toma, toma, toma, toma, toma, toma (toma, toma)

DENNIS, o brabo (o brabo)

"
1,"Lapada Dela  de Grupo Menos É Mais, Matheus Fernandes",Lapada Dela (part. Matheus Fernandes),Grupo Menos É Mais,"Me apaixonei por uma menina
Que tem 1 metro e 60 e uma tatuagem do seu ex
Ela é do tipo que acaba uma família
Basta encostar nela uma vez

Eu caí no corpo dela e me viciei
Agora eu tô apaixonado, olha onde eu entrei

Todo dia eu quero pegar ela
Não consigui dormir pensando na lapada dela
Tô aqui pensando em cada movimento dela
Tu não pega ela
Ela é quem te pega

Todo dia eu quero pegar ela
Não consigui dormir pensando na lapada dela
Tô aqui pensando em cada movimento dela
Tu não pega ela
Ela é quem te pega

Me apaixonei por uma menina
Que tem 1 metro e 60 e uma tatuagem do seu ex
Ela é do tipo que acaba uma família
Basta encostar nela uma vez

Eu caí no corpo dela e me viciei
Agora eu tô apaixonado, olha onde eu entrei

Todo dia eu quero pegar ela
Não consigui dormir pensando na lapada dela
Tô aqui pensando em cada movimento dela
Tu não pega ela
Ela é quem te pega

Todo dia eu quero pegar ela
Não consigui dormir pensando na lapada dela
Tô aqui pensando em cada movimento dela
Tu não pega ela
Ela é quem te pega

"
2,"Seu Brilho Sumiu  de Israel & Rodolffo, Mari Fernandez",Seu Brilho Sumiu (part. Mari Fernandez),Israel &amp; Rodolffo,"Terminou, espalhou pra todo mundo
Encheu a boca pra dizer que tá feliz em me perder
E que seu beijo vai virar assunto

Mas o assunto fui eu, aparecendo de mãos dadas com outro alguém
Jogando na sua cara que eu te superei
Doeu, eu sei

Até parou de conversar
Fechou a cara e não parava de me olhar
Eu vi de longe sua volta por cima
Indo água abaixo assistindo a minha

Porque quando cê me viu
Seu brilho sumiu
Sua noite acabou
Passar vergonha ao vivo é pouco pra falador

Porque quando cê me viu
Seu brilho sumiu
E pra minha sorte, cão que late não morde
Cão que late não morde

Mas o assunto fui eu, aparecendo de mãos dadas com outro alguém
Jogando na sua cara que eu te superei
Doeu, eu sei

Até parou de conversar
Fechou a cara e não parava de me olhar
Eu vi de longe sua volta por cima
Indo água abaixo assistindo a minha

Porque quando cê me viu
Seu brilho sumiu
Sua noite acabou
Passar vergonha ao vivo é pouco pra falador

Porque quando cê me viu
Seu brilho sumiu
E pra minha sorte, cão que late não morde
Cão que late não morde

E pra minha sorte, cão que late não morde
Cão que late não morde

"
3,"Nosso Quadro de AgroPlay, Ana Castela",Nosso Quadro,Ana Castela,"Todo mundo tem um amor que quando deita e olha pro teto
Vem a pergunta: Será que se fosse hoje a gente dava certo?
Um episódio que nunca vai ser lançado, um álbum incompleto
Uma história que parou pela metade, cê imagina o resto?

É saudade que toma, que toma
Que toma conta de mim
E não me dá remorso, nem raiva
Nem ódio da pena do fim

Agora o nosso quadro casando na igreja
Não vai ser pendurado, só existe na minha cabeça
Nós dois tocando o gado, a filha boiadeira
Nossa vida no mato só existe na minha cabeça
Vai ser amor mesmo não sendo a vida inteira
Vai ser amor mesmo não sendo a vida inteira

Tem coisas que nem querendo a gente esquece
Final do ano de 2017
Eu começando Odonto e você na Vet
A sua camisa jeans na minha caminhonete

Os meus amigos perguntam que fim cê levou
O meu pai não desiste, ainda quer ser vovô
O tempo não foi tão legal com nós dois
Podia ter sido, mas não foi

Agora o nosso quadro casando na igreja
Não vai ser pendurado, só existe na minha cabeça
Nós dois tocando o gado, a filha boiadeira
Nossa vida no mato só existe na minha cabeça
Vai ser amor mesmo não sendo a vida inteira
Vai ser amor mesmo não sendo a vida inteira

"
4,Erro Gostoso  de Simone Mendes,Erro Gostoso,Simone Mendes,"Calma, deixa eu respirar um pouco
Nós somos dois loucos
Olha a gente nessa cama de novo

O que cê sente quando cê mente na minha cara
Pra ter uma hora de cama suada?
Eu percebo a cada visita
Cê não gosta de mim, cê gosta é da conquista

Ah, e agora como eu fico nessa casa?
Com sorriso ou choro no rosto?
Cê vem aqui, me acostuma errado
Cola meus pedaços pra quebrar de novo
Eu preciso aprender a falar não um pouco
Pra esse erro gostoso

Ah, e agora como eu fico nessa casa?
Com sorriso ou choro no rosto?
Cê vem aqui, me acostuma errado
Cola meus pedaços pra quebrar de novo
Eu preciso aprender a falar não um pouco
Pra esse erro gostoso

Calma, deixa eu respirar um pouco
Nós somos dois loucos
Olha a gente nessa cama de novo

O que cê sente quando cê mente na minha cara
Pra ter uma hora de cama suada?
Eu percebo a cada visita
Cê não gosta de mim, cê gosta é da conquista

Ah, e agora como eu fico nessa casa?
Com sorriso ou choro no rosto?
Cê vem aqui, me acostuma errado
Cola meus pedaços pra quebrar de novo
Eu preciso aprender a falar não um pouco
Pra esse erro gostoso

Ah, e agora como eu fico nessa casa?
Com sorriso ou choro no rosto?
Cê vem aqui, me acostuma errado
Cola meus pedaços pra quebrar de novo
Eu preciso aprender a falar não um pouco
Pra esse erro gostoso

"
5,"Novo Balanço de Veigh, Bvga Beatz, Prod Malax, Supernova Ent",Novo Balanço,Veigh,"Fumando um fino de canto
Eu e meus, eu e meus manos
Cheio de ouro e o corte americano (juro)
Isso é um novo balanço
Quando ela desce, eu fico bambo
Senta em mim enquanto eu conto
Morde o canto do copo me olhando
Dentro do baile com meu som tocando

Eu sempre estive aqui, só você não viu
É bem mais fácil ser visto agora
Hoje que nós tá forte, pra você serve
E não era assim
Onde nós chega, nós forga

Um copo de whisky
Ela manda mensagem, apaga
Dois copos de whisky
Me liga só pra ouvir minha voz
Eu do outro lado
Ouvindo e dando risada
Cê não nasceu ontem pra entender que não tem mais nós

Fumando um fino de canto
Eu e meus, eu e meus manos
Cheio de ouro e o corte americano (juro)
Isso é um novo balanço
Quando ela desce, eu fico bambo
Senta em mim enquanto eu conto
Morde o canto do copo me olhando
Dentro do baile com meu som tocando

Ei, señorita, ¿o qué pasa?
Por que você quer saber se é a única que eu respondo na madrugada?
Você vai se decepcionar se eu disser que é porque as outras não tão acordada
Quer saber onde eu tô, pergunta pra amiga ou só segue o sinal de fumaça
Me diz qual é o mistério e por que de tanta neblina quando o bonde passa

De-desfilando na quebrada
Chica, tu eres muy guapa
Pensando bem, você não merecia nenhuma das mentiras que eu te contava
Pensando bem, você era uma cínica e também mentia quando eu perguntava
Pra que o problema desapareça

Eu acendo esse fino de canto
Cheio de ouro e o corte americano
Quando ela desce, eu fico bambo
Senta em mim enquanto eu conto
Morde o canto do copo me olhando
Dentro do baile com o meu som tocando

"
6,"Cartão Black de MC Caverinha, KayBlack, Wall Hein",Cartão Black (part. KayBlack),MC Caverinha,"O tigre abasteci, dei ração pra buscar o parceiro (que beat do Wall, ele não é à toa)

Me trajei, já deixei o crocodilo descansar embaixo do coqueiro
Já passei no gordão, já mandei o disfarção, tá na régua o cabelo
Resgatei o tigre, abasteci, dei ração pra buscar o parceiro
Percebi que as mandraka só joga se tiver motor e dinheiro

Então bota os tratorzão na pista
Os que assombra em solo paulista
O desejo de várias bandida
O pesadelo desses coxinha
Desenvolto, só marcha pra cima
Dom do toque, rei da bruxaria
Elas chamam de amor, de vida
Mas não era assim nas antiga

(Ela chama de amor, de vida)
(Ei, Caveira)

Resgatei meu cartão black
Resgatei meu cartão black, liguei o KayBlack, que até a atendente sorriu
Comprava na 25, e hoje, na Lacoste, eu deixei vinte e cinco mil
Comprei até uma pretona, vulgo africana, com o sobrenome Twin
Mas não sou eu que tô no toque, não, deixei um brother pilotar por mim
Ainda lembro da minha bike, toda equipada com guidão de moto
Corri pra caramba sem perder o foco
Hoje o Cavalão de Troia é eu que toco
E nem posso, e nem posso
Sempre roletando na minha quebrada (na minha quebrada)
Sendo inspiração pra toda molecada (toda molecada)
Geladeira cheia, comida na mesa
Aquele boy só quer saber se minha roupa é de marca ou falsa

Me trajei com o conjunto chave que vem de país estrangeiro
Já passei a má fase, enfrentei o medo, eu nunca fui herdeiro
Resgatei o tigre, abasteci, dei ração pra buscar o parceiro
Percebi que as mandraka quer jogar pra quem tem motor e dinheiro

Me trajei, já deixei o crocodilo descansar embaixo do coqueiro
Já passei no gordão, já mandei o disfarção, tá na régua o cabelo
Resgatei, o tigre abasteci, dei ração pra buscar o parceiro
Percebi que as mandraka só joga se tiver motor e dinheiro

Então bota os tratorzão na pista
Os que assombra em solo paulista
O desejo de várias bandida
O pesadelo desses coxinha
Desenvolto, só marcha pra cima
Dom do toque, rei da bruxaria
Elas chamam de amor, de vida
Mas não era assim nas antiga

"
7,"Quando Apaga A Luz  de Gustavo Mioto, Mc Don Juan",Quando Apaga a Luz (part. MC Don Juan),Gustavo Mioto,"Eu acho lindo o jeito que tu pinta
A minha fama pras tuas amigas
Eu acho foda o jeito que tu posta
Fotos de bebida, frases de mentira

Tá queimando meu nome na praça
Mas no meio da madrugada cê me amassa
Fala, fala mal, mas não me larga
Quem vê feed não vê sentada

A mesma boca que me xinga e que me odeia
Quando apaga a luz, me lambe e me beija
A mesma boca que mandou eu ir embora
Quando apaga a luz, pede toda hora, toda hora

A mesma boca que me xinga e que me odeia
Quando apaga a luz, me lambe e me beija
A mesma boca que mandou eu ir embora
Quando apaga a luz, pede toda hora, toda hora

Eu acho lindo o jeito que tu pinta
A minha fama pras suas amiga
Eu acho foda o jeito que tu posta
Foto de bebida, frases de mentira

Tá queimando meu nome na praça
Mas no meio da madrugada cê me amassa
Fala, fala mal, mas não me larga
Quem vê feed não vê sentada

A mesma boca que me xinga e que me odeia
Quando apaga a luz, me lambe e me beija
A mesma boca que mandou eu ir embora
Quando apaga a luz, pede toda hora, toda hora

A mesma boca que me xinga e que me odeia
Quando apaga a luz, me lambe e me beija
A mesma boca que mandou eu ir embora
Quando apaga a luz, pede toda hora, toda hora, toda hora
Pede toda hora, toda hora, toda hora

"
8,"Não Vitalício (Nunca Mais)  de Matheus & Kauan, Mari Fernandez",Não Vitalício (Nunca Mais) (part. Mari Fernandez),Matheus e Kauan,"Eu tenho raiva de você
Porque cê beija bem demais
Na cama, cê tem o poder
De tirar minha paz

Mas dessa vez prometo que é pra sempre
Você não vai entrar na minha mente
Esse meu não agora é vitalício
Mas é sempre isso

Juro que eu não volto nunca mais
Olha eu beijando na boca do nunca mais
Olha eu tirando a roupa do nunca mais
Eu juro que eu nao corro mais atrás
Olha eu correndo pra casa do nunca mais
Olha eu me acabando na cama do nunca mais

Eu tenho raiva de você
Porque cê beija bem demais
Na cama, cê tem o poder
De tirar minha paz

Mas dessa vez prometo que é pra sempre
Você não vai entrar na minha mente
Esse meu não agora é vitalício
Mas é sempre isso

Juro que eu não volto nunca mais
Olha eu beijando na boca do nunca mais
Olha eu tirando a roupa do nunca mais
Juro que eu nao corro mais atrás
Olha eu correndo pra casa do nunca mais
Olha eu me acabando na cama do nunca mais

Eu juro que eu não volto nunca mais
Olha eu beijando na boca do nunca mais
Olha eu tirando a roupa do nunca mais
Juro que eu nao corro mais atrás
Olha eu correndo pra casa do nunca mais
Olha eu me acabando na cama do nunca mais (do nunca mais)
Nunca mais

"
9,"Duas Três de Guilherme & Benuto, Ana Castela, Adriano Rhod",Duas Três (part. Ana Castela e Adriano Rhod),Guilherme e Benuto,"Ai
Se eu achasse uma boca igual à sua era bom demais
Ai, ai, ai
Se eu achasse um beijo bem parecido, eu ficava em paz

Eu até caço, na noite, resenha e balada
Mas a boca não dá mais liga com fumaça e cachaça
Aí eu ligo pra você de madrugada
Você atende e tira uma com minha cara
E fala

Cê não acha um beijo desse nunca
Um cabelão batendo na bunda
Um corpão de 1 metro e 70
Que dá duas, três foda e guenta
Cê não acha um beijo desse nunca
Um cabelão batendo na bunda
Um corpão de 1 metro e 70
Que dá duas, três foda e guenta

Ai
Se eu achasse uma boca igual à sua era bom demais
Ai, ai, ai
Se eu achasse um beijo bem parecido, eu ficava em paz

Eu até caço, na noite, resenha e balada
Mas a boca não dá mais liga com fumaça e cachaça
Aí eu ligo pra você de madrugada
Você atende e tira uma com minha cara
E fala

Cê não acha um beijo desse nunca
Um cabelão batendo na bunda
Um corpão de 1 metro e 70
Que dá duas, três foda e guenta
Boiadeira dessas só tem uma
Com cabelão batendo na bunda
Com um corpão de 1 metro e 70
Que dá duas, três foda e guenta

Cê não acha um beijo desse nunca
Um cabelão batendo na bunda
Um corpão de 1 metro e 70
Que dá duas, três foda e guenta

Ai, ai, ai, ai, ai, ai, ai, ai, ai
É saudade demais

"
10,"ELA PIROU NA DODGE RAM de Luan Pereira, MC Ryan SP",Ela Pirou Na Dodge Ram (part. MC Ryan SP),Luan Pereira,"Movimentando a mola da Ram
Movimentando a mola da Ram

Insulfilm preto esconde os amassos
Nesse couro branco, na estrada de terra
A bodona vai pulando (vai, vai, vai)
Eu tô gostando dela galopando (vai, vai, vai)
Eu tô gostando

Então vai que ela disse que quer provar o meu mel
Fetiche dela é o Tubarão de chapéu
Tira minha fivela que eu te levo ao céu
Tira minha fivela, vai

Ela pirou na Dodge Ram
Mordi aquele corpinho até de manhã
Provou do peão e a blogueirinha virou fã
Movimentando a mola da Ram
Movimentando 

Ela pirou na Dodge Ram
Peguei aquele corpinho até de manhã
Provou do peão e a boiadeira virou fã
Movimentando a mola da Ram
Movimentando a mola da Ram, Ram
Ram, Ram, Ram

Movimentando a mola da Ram
Movimentando a mola da Ram

Insulfilm preto esconde os amassos
Nesse couro branco, na estrada de terra
A bodona vai pulando
Eu tô gostando dela galopando
Eu tô gostando (vai)

Então vai, ela disse que quer provar meu mel
Fetiche dela é peão de chapéu
Tira minha fivela que eu te levo ao céu
Tira minha fivela e vai

Ela pirou na Dodge Ram
Peguei aquele corpinho até de manhã
Provou do peão e a boiadeira virou fã
Movimentando a mola da Ram
Movimentando a mola da Ram

Ela pirou na Dodge Ram
Mordi aquele corpinho até de manhã
Provou do peão e a blogueirinha virou fã
Movimentando a mola da Ram
Movimentando a mola da Ram, Ram
Ram, Ram, Ram

Movimentando a mola da Ram
Movimentando a mola da Ram

"
11,Coração de Gelo de WIU,Coração de Gelo,WIU,"Get it, get it up, get it up, get it up boy
Ainda tem grana a fazer por aí
Ela não vai te ligar, nem chamar pra sair
Cai pra noite, vai, deixa o baile seguir

Mas que falta de sorte
Trata o coração quebrado fumando um da forte
Várias bunda no lugar, mas nada que me importe
Só de olhar lá no fundo do olho
Eu já sei que nenhuma faz como tu faz
Te apresento essa neném com cara de malvada
Descendo do Uber com as cunhada
Fuma um vape com gosto de hoje a mãe arrasa
Aproveita e me leva pra tua casa
Me promete prazer, preciso de amor não
Já me conformei que eu não vou segurar sua mão
Mas tudo bem, tudo, tudo bem, tranquilão
Se ela me magoar, eu ligo a outra que ela tem mó bundão

Essa bicha tá desconsiderando o nego
A nega é coração de gelo
Essa bebê, cara, é foda, ela me deu um nó
Ela não quer mais amor, só quer o isqueiro

Essa bicha tá desconsiderando o nego
A nega é coração de gelo
Essa bebê, cara, é foda, ela me deu um nó
Ela não quer mais amor, só quer dinheiro

Deixa eu quebrar o gelo do seu coração
Primeiro nóis fode, depois fuma um balão
Ficou com tesão no brilho do cordão
Nem pensou em romance, ela só quer tapão

Get it, get it up, get it up, get it up boy
Tranquilão, fumando um do bom por aí
Sempre na onda, eu não deixo a vibe cair
Se quiser colar, vem, é só me seguir
My, my, my, my, my baby
Foda que eu e ela era sal (era sal)
Aquela raba fora do normal
Ela disse que quer conhecer Fortal
Viciou no meu flow, no estilo vetin criminal

Essa bicha tá desconsiderando o nego
A nega é coração de gelo
Essa bebê, cara, é foda, ela me deu um nó
Ela não quer mais amor, só quer o isqueiro

Essa bicha tá desconsiderando o nego
A nega é coração de gelo
Essa bebê, cara, é foda, ela me deu um nó
Ela não quer mais amor, só quer dinheiro

(Deixa eu quebrar o gelo do seu coração)
(Ficou com tesão no brilho do cordão)

"
